start	end	text
4464520	4469920	and have a short conversation with them just to make sure that they are able to do that.
4469920	4471440	Is that kind of like what you mean?
4471440	4472440	Yep.
4472440	4473440	Good.
4474360	4477120	Definitely reach out and having them conversate first with each other.
4477120	4478120	That's great.
4478120	4479120	Okay.
4479120	4480120	Thank you for sharing, Jennifer.
4480120	4486080	And Ty is in the classroom face-to-face here and he's going to go ahead and share an idea
4486080	4487080	he came up with.
4487080	4488080	Go ahead, Ty.
4488080	4494280	So for course competency, the competency reads the learner identifies proper personal protective
4494280	4495280	equipment.
4495280	4501400	So idea for a formative project would be to print it out in different scenarios and workplace
4501400	4508720	throughout the agriculture setting and having these working groups come up identifying what
4508720	4515160	potential hazards there are, what PPE should be used and why each item is necessary for
4515160	4516160	the PPE.
4516160	4522840	And then another competency that goes hand in hand with that being the learner performs
4522840	4523840	proper safety habits.
4524280	4532640	So that could actually be a summative in person that they identify a safety hazard that is
4532640	4538080	present and they demonstrate wearing proper PPE while they're doing a task.
4538080	4539080	All right.
4539080	4540080	Excellent.
4540080	4541080	That's a good way.
4541080	4542080	Thank you.
4542080	4543080	All right.
4543080	4544080	And one more from somebody online.
4544080	4545080	Somebody online.
4545080	4546080	Stacey, did you want to talk?
4546080	4547080	I see you're unmuted.
4547080	4548080	Yes.
4548320	4555560	Yes, I'm actually working on curriculum for the technical colleges for personal finance.
4555560	4560440	That's going to be required in a few years for the GED students.
4560440	4565840	But I taught the class and an example of a summative would be like budgeting, you know,
4565840	4568740	learning how to budget your money and things like that.
4568740	4575640	And there's a free program where you can go and you have to figure out how to get a magician
4575640	4580400	to Las Vegas so he can perform there and you have to budget your money.
4580400	4586000	And it's just a fun game, but it shows them how to budget because things come up like
4586000	4589160	the magician gets a flat tire.
4589160	4596360	He has to you have to choose what kind of tricks for him to do at the shows that he's
4596360	4597640	leading up to Vegas.
4597640	4603120	So it's just something that they can figure out budgeting and they have to try and get
4603120	4604120	him to Vegas.
4604200	4608560	They don't always make it to Vegas and they can, you know, review what should I have done
4608560	4609560	differently.
4611560	4614280	That sounds fun.
4614280	4615280	That sounds fun.
4615280	4620640	So definitely a different way to make a way to get them to to apply and learn.
4620640	4624880	And you can maybe then take it one step further and I'll be like, OK, now that you did this
4624880	4628360	game with this magician, you're planning your own trip.
4628360	4632960	What type of budget do you have to have for your own trip to kind of do and stuff?
4633000	4636000	So thank you very much, Stacey, for sharing.
4637000	4639000	OK, now I've got to share.
4642000	4643000	All right.
4643000	4651000	So we're going to go back to the PowerPoint and we're going to talk a little bit about
4651000	4652000	rubrics.
4653000	4659000	OK, we have a couple of videos to start out here to help us understand what a rubric is
4659000	4662000	and the benefits of of using rubrics.
4663000	4671000	Hey, everyone, welcome to our YouTube video on the benefits of using rubrics to assess
4671000	4672480	student learning.
4672480	4676960	In this video, we'll discuss the importance of rubrics, their benefits and how they can
4676960	4679760	improve student learning outcomes.
4679760	4684080	Rubrics are a powerful tool that helps teachers to evaluate and grade student work.
4684080	4688520	They provide a clear set of criteria for measuring student performance and help to ensure that
4688520	4691800	grading is consistent, objective and fair.
4692640	4696640	Here are some of the key benefits of using rubrics to assess student learning.
4696640	4701640	Improved clarity rubrics provide clear and specific criteria for measuring student performance.
4701640	4706640	This clarity helps students understand what is expected of them, which can lead to increased
4706640	4708640	engagement and motivation.
4708640	4712640	When students know what they need to do to succeed, they are more likely to take ownership
4712640	4715640	of their learning and work towards achieving their goals.
4715640	4720640	Additionally, rubrics can help teachers communicate their expectations to students more effectively,
4721480	4723480	reducing confusion and misunderstandings.
4723480	4728480	Better feedback rubrics provide detailed feedback to students on their performance in specific
4728480	4730480	areas of an assignment.
4730480	4735480	This feedback helps students understand where they excelled and where they need to improve.
4735480	4739480	When students receive feedback that is detailed and specific, they are more likely to take
4739480	4742480	that feedback into account when revising their work.
4742480	4746480	Additionally, rubrics can help teachers provide feedback in a more efficient and effective
4746480	4747480	manner.
4748320	4752320	With a well-designed rubric, teachers can quickly identify areas where students need
4752320	4756320	improvement and provide feedback that is targeted to those areas.
4756320	4760320	Objective and consistent grading rubrics are designed to be objective and consistent, which
4760320	4763320	ensures that grading is fair and unbiased.
4763320	4768320	When teachers use rubrics to grade assignments, they are less likely to be influenced by personal
4768320	4770320	biases or preferences.
4770320	4774320	This means that all students are graded fairly and consistently based on their performance
4774320	4776320	against the rubric criteria.
4777160	4781160	Rubrics can help teachers ensure that they are assessing all students on the same criteria,
4781160	4784160	which can help to eliminate discrepancies in grading.
4784160	4789160	Improved learning outcomes rubrics can help improve student learning outcomes by providing
4789160	4792160	students with a clear understanding of what is expected of them.
4792160	4796160	When students understand what they need to do to succeed, they are more likely to engage
4796160	4799160	with the material and work towards achieving their goals.
4799160	4804160	Additionally, rubrics can help students focus their efforts on specific areas of an assignment
4804160	4806160	that they need to improve on.
4807000	4810000	When students receive feedback that is targeted to their specific needs, they are more likely
4810000	4815000	to take that feedback into account and work towards improving their skills and knowledge.
4815000	4819000	Overall, rubrics are an effective tool for assessing student learning.
4819000	4825000	They provide clarity, feedback, and consistency, which can help to improve student engagement,
4825000	4827000	motivation, and learning outcomes.
4827000	4831000	If you're a teacher, consider using rubrics in your classroom to assess student work and
4831000	4834000	help your students achieve their full potential.
4837000	4851000	So that gives you some ideas on what a rubric is and the benefits of using it.
4851000	4853000	This is the next short video.
4853000	4855000	This one's like 30 seconds.
4855000	4859000	For me, the rubric should be telling the student, am I on the right track?
4859000	4863000	The student should be able to refer to the rubric and just say, not, here's what you
4863840	4866840	next, because that's definitely going to improve the work, but not improve the learner.
4866840	4871840	But I think the rubric can be helpful in reassuring the student, you're on the right track, or
4871840	4876840	actually, you've forgotten an important element that you need to do to support your argument
4876840	4878840	in this history essay, for example.
4880840	4888840	So that was a short, sweet one, really talking about how rubrics can help the individuals.
4889680	4899680	So rubrics are not only used for assessment purposes, but I feel that rubrics help with
4899680	4901680	communication.
4901680	4909680	It helps create the clear communication to the student what you're looking for.
4910520	4918520	And so what we've got here is examples of some rubrics that I use in my classroom.
4918520	4924520	The top one here is a very, I call it a very generic rubric.
4924520	4932520	It's a short answer rubric that I use pretty much all my short answer questions on my unit
4932520	4934520	exams.
4935360	4941360	And you can see it's just length, terms from class, and isn't understandable.
4941360	4948360	Because a lot of times I'll throw on a scenario question, like in my plant and soil science
4948360	4955360	class, an example of a simple essay question I have on there is you work in an agronomy
4955360	4956360	center.
4956360	4962560	A new person to the area who's never farmed before walks in, wants advice on their soil
4962600	4966600	type, on how to properly grow their crops.
4966600	4970600	And they bring in a sample with them, and you can tell right away that they have a very
4970600	4971600	high sandy soil.
4971600	4976600	What are you going to tell them about sandy soil and growing their crops?
4976600	4983600	And so I say length, because length oftentimes, and I have found that even just using the
4983600	4988600	words, like the more details the better, doesn't always work.
4988640	4994640	Because Kylie might think that in her mind, two sentences is plenty of details, and Lauren's
4994640	4997640	going to write ten, right?
4997640	5001640	So sometimes you need to make clear exactly what I'm saying.
5001640	5003640	So you can see very simple here.
5003640	5006640	I want, give me a minimum of four sentences.
5006640	5009640	Notice that I have sentences or bullet points.
5009640	5016640	Because for me, when I look at my students, okay, sometimes they're not going to be the
5016680	5019680	strong English communicators.
5019680	5024680	They're not going to write very well or have struggled for me.
5024680	5025680	Do I want to form a sentence?
5025680	5026680	Yes.
5026680	5027680	But they might struggle.
5027680	5032680	But are they more comfortable and more confident explaining that in a bullet point versus a
5032680	5033680	complete sentence?
5033680	5036680	For the classes that I teach, I'm okay with that.
5036680	5037680	Right?
5037680	5040680	And again, that's kind of giving them some choice.
5040680	5045680	So minimum of four sentences, and then I'm like, okay, are you using terms from the class?
5045720	5048720	Are they talking about leech?
5048720	5049720	Sand likes to leech.
5049720	5051720	Sand's not going to hold water.
5051720	5052720	It's very granular.
5052720	5057720	You're going to have, are they using the specific terms that we talked about?
5057720	5060720	And then are the thoughts organized?
5060720	5061720	Understandable.
5061720	5062720	Do they make sense?
5062720	5064720	Or do they leave me asking questions?
5064720	5065720	Okay.
5065720	5067720	So that's a very simple rubric.
5067720	5074720	But I use this for grading, for grading essay contests or essay contests.
5074760	5077760	Essay questions on the test.
5077760	5080760	And, you know, the students can see the rubric.
5080760	5086760	I have learned in school that when I do do essay questions in the essay question itself,
5086760	5092760	I'll be like, make sure to look at the rubric before you answer this, because you can tell
5092760	5094760	who doesn't look at the rubric.
5094760	5095760	Right?
5095760	5098760	Because you can just speak just with how they answer it.
5098800	5106800	This discussion board rubric, I believe this is the discussion, the general template
5106800	5115800	discussion board rubric that was put together a number of years ago in Schoology for discussion.
5115800	5119800	You can see it's three pretty areas.
5119800	5126800	The initial, post timing and relevance, replying and clarity mechanics and references.
5126840	5129840	So that one, that is that one.
5129840	5131840	Those are cooler stuff.
5131840	5139840	A couple examples here of some other rubrics I use.
5139840	5143840	This is the rubric that I use in rubrics.
5143840	5147840	There's not like one size fits all.
5147840	5148840	Okay.
5148840	5152840	You can design the rubric based for your assignment, based for your class of what you want.
5152880	5160880	So the one on the left here is the rubric that I use for the final project in my quality
5160880	5161880	class.
5161880	5162880	Okay.
5162880	5168880	There are the students have to research a niche market in the livestock, the meat industry,
5168880	5169880	such as like that.
5169880	5174880	Oh, well, example, somebody might do like organic pork or certified.
5174880	5175880	Okay.
5175880	5180880	And so you can see those are the question that they have to do.
5180920	5183920	And they know right away, especially when it's timing.
5183920	5184920	Okay.
5184920	5186920	You're supposed to talk up to six minutes.
5186920	5187920	You can't talk.
5187920	5191920	If you decide you're only going to talk less than four minutes, you're only going to get
5191920	5192920	one point.
5192920	5193920	Okay.
5193920	5195920	So I break it out like that.
5195920	5200920	And sometimes it is okay just to even if you have like a scale like three, two, one, zero
5200920	5202920	where you're not given an option.
5202920	5204920	It's either you get all your points or you don't.
5204920	5205920	Okay.
5205920	5206920	Do you list your sources?
5206920	5207920	Well, either you did or you don't.
5207920	5208920	Right.
5208920	5209920	You're either going to get three points or you're going to get zero.
5209960	5210960	There's no in between.
5210960	5211960	Okay.
5211960	5214960	So it's okay to use to use that.
5214960	5216960	And so again, that one dries out.
5216960	5221960	And then the other one is one that is built in Schoology.
5221960	5223960	You can tell the way that was there.
5223960	5229960	But this is again, I think I told a little bit about the final where they have to look
5229960	5231960	at each of these.
5231960	5233960	So look again.
5233960	5234960	Okay.
5234960	5238960	I'm looking at the length, the terminology and the reasoning.
5239000	5240000	Okay.
5240000	5243000	Are you explaining four sentences or bullet points?
5243000	5247000	Are you using nutrition terms in each sentence?
5247000	5248000	Okay.
5248000	5252000	Are you showing in depth thought and understanding of nutrition and forage reports?
5252000	5253000	And so I do that.
5253000	5257000	You can see I do that for the best, one of the worst, the best, the worst.
5257000	5265000	And so that's an example of some rubrics that I have here as well.
5265040	5270040	If you can design rubrics in Schoology.
5290040	5293040	So if you are in Schoology.
5295040	5304040	If you go in and you add a new assignment.
5308040	5313040	You can when you choose your scale or rubric down here.
5313040	5319040	If you have one that's already created, it will be listed or you just do create new.
5319040	5323040	And you can see here this is how what it looks like.
5323080	5325080	And you can give it a title.
5325080	5332080	So like, you know, and once you create it, you can link it to all your courses.
5332080	5334080	Like that short answer one I have.
5334080	5336080	I use that in all my courses.
5336080	5341080	And then your criteria, you know, so this is where I have that like length.
5341080	5345080	If you want a description a little bit more, you can.
5345080	5348080	But let's say I just want to do three, two, one.
5348120	5353120	I can just, you saw that I just hit the X and I got rid of that.
5353120	5356120	And then you can come in here and you can change it.
5356120	5360120	If I want to add a new one, I just add criteria.
5360120	5372120	And so you can make this if I wanted to change this and make this like 10, 10, 8, 6, you can.
5372160	5379160	So you can create rubrics right in in Schoology for certain assignments.
5379160	5391160	Other thing to take into consideration is I have heard people using ChapGPT for making rubrics.
5391160	5398160	All right. So you can put in like all the specifications for your assignment.
5398200	5407200	And then you can tell ChapGPT create a Likert scale rubric starting at five and going to zero.
5407200	5414200	Here are the categories to use to to assess this assignment.
5414200	5423200	And so when you do that, it will spit it out and give you a starting place, right?
5423200	5427200	You could you can definitely tweak that and then put it into work.
5427240	5437240	So I'm taking I want you to take about I'll give you about seven minutes right now.
5437240	5447240	And I want you to think of an assignment that you currently have that you maybe could introduce a rubric to.
5447240	5452240	OK. Or maybe you have a rubric for an assignment that you're like, I want to tweak this.
5452280	5454280	So take about seven minutes right now.
5454280	5461280	Think about that rubric and draw out, sketch out on paper or word, whatever.
5461280	5468280	Use ChapGPT. What a rough rubric like that might look like.
5468320	5483320	OK. So take a take seven minutes and reflect on making a rubric for for a class or an assignment or an assignment that you would do.
5483320	5488320	Any questions online what you're doing?
5488320	5493320	All right. Give you a seven minute work time.
5498280	5499320	Thank you.
5528280	5529320	Thank you.
5558280	5559320	Thank you.
5588280	5589320	Thank you.
5618280	5619320	Thank you.
5648280	5649320	Thank you.
5678280	5679320	Thank you.
5708280	5709320	Thank you.
5738280	5739320	Thank you.
5768280	5769320	Thank you.
5798280	5799320	Thank you.
5828280	5829320	Thank you.
5858280	5859320	Thank you.
5888320	5889320	Thank you.
5914320	5915320	All right.
5915360	5917360	Welcome back.
5917360	5920360	My seven minute timer went off.
5920360	5934360	I hope that you enjoyed working on on your rubrics and got some ideas on how you can use them moving forward.
5934360	5936360	We are going to go ahead and take a break now.
5936360	5938360	So let's take about 10 minutes.
5938400	5939400	I've got 1025.
5939400	5946400	So at 1035, we'll come back and we'll pick up with communicating feedback to students.
5946400	5947400	All right.
5947400	5948400	So go ahead.
5948400	5949400	Take 10 minutes.
5949400	5950400	Thank you.
5968360	5969400	Thank you.
5998360	5999400	Thank you.
6028360	6029400	Thank you.
6058360	6059400	Thank you.
6088360	6089400	Thank you.
6118360	6119400	Thank you.
6148360	6149400	Thank you.
6178360	6179400	Thank you.
6208360	6209400	Thank you.
6238360	6239400	Thank you.
6268360	6269400	Thank you.
6298360	6299400	Thank you.
6328360	6329400	Thank you.
6358360	6359400	Thank you.
6388360	6389400	Thank you.
6418360	6419400	Thank you.
6448360	6449400	Thank you.
6478360	6479400	Thank you.
6508360	6509400	Thank you.
6538360	6539400	Thank you.
6568360	6569400	Thank you.
6598400	6599400	Thank you.
6610400	6611400	Okay.
6611400	6617400	Hopefully those of you that are online are working your way back to your computers and can hear me.
6617400	6623400	I know Megan should be right back, but we're going to go ahead and keep moving.
6623440	6628440	I hope that you aren't getting something out of the session today.
6628440	6638440	I'm trying to make it educational and useful so you can apply it to what you're actually doing.
6638440	6639440	All right.
6639440	6642440	So we're going to you're done with rubrics.
6642440	6647440	We're going to move on to this feedback.
6647440	6650440	Feedback, feedback, feedback.
6650440	6651440	Okay.
6651480	6660480	I want you guys to think about for a moment the time in your life, and it doesn't have to be education.
6660480	6668480	It can just be any time in your life when feedback was valuable to them.
6668480	6673480	And how did you use that feedback to improve?
6673480	6674480	Okay.
6674520	6679520	So in your personal life or in your careers, it could be another career.
6679520	6686520	Think about a time when feedback was valuable and how you use that feedback to improve to yourself.
6686520	6700520	Now, I'm not going to ask you to share, but I'm sure we all have a time or two where even if it wasn't positive feedback,
6700560	6709560	if it was given in the right way that we were able to improve and to become better from that.
6709560	6710560	Right.
6710560	6716560	So when you think about feedback, it should be timely and specific.
6716560	6717560	All right.
6717560	6722560	So, you know, you don't want to write it.
6722600	6733600	If something happened last semester, hopefully your supervisor here on campus addressed it shortly after it happened.
6733600	6734600	Right.
6734600	6735600	Or positive or negative.
6735600	6744600	If they are coming to you next week, the first week of school and being like, hey, I want to talk to you about XYZ that happened back in October.
6744600	6747600	That's not really timely feedback.
6747640	6748640	Right.
6748640	6755640	But I mean, that could also be situational for some reason, if it was something dealing with a student and the student just came forward.
6755640	6757640	Well, then maybe it is considered timely.
6757640	6758640	Right.
6758640	6763640	But you really want it to be timely, constructive and encouraging.
6763640	6764640	Okay.
6764640	6769640	So, yeah, you know, here, this is encouraging.
6769680	6774680	Encourage them to do good, but yet be constructive at the same time, helping them to improve.
6774680	6779680	I know when I, it's funny how you learn things and you don't, you're not trying to learn things to apply to your life.
6779680	6790680	When I was working on my master's degree, one thing I picked up in the first year of high school was that I didn't know how to write.
6790720	6795720	One thing I picked up in the feedback from instructors on assignments and stuff was they always tended to start the feedback with something positive.
6804720	6805720	Okay.
6805720	6809720	And so, I and so and so that, that stuck with me.
6809720	6810720	Okay.
6810720	6814720	You know, about the assignment or whatever, they always talked about the good things first.
6814720	6820320	the assignment or whatever. They always talked about the good things first. And so when I'm giving
6820320	6826960	feedback to students on assignments, I kind of have switched my mindset. I've tried to be very
6826960	6837040	conscious about saying something positive first, okay? Because think about it, right? If you hear
6837040	6844000	something negative yourself first, what happens? Or you read something negative, right? Your
6844000	6848560	self-esteem goes down, your emotions go down. You're going to take the rest of the feedback.
6850160	6858560	Who knows how, right? But if you hear something positive first, you know, and then be like,
6858560	6864080	hey, I'm going to pick a good chasm, okay? To your side manners or whatever. You know, you can be
6864080	6871280	like, hey, you know, you started out great. You did good. You welcomed the client. You called them
6871280	6877520	by their name. You greeted them, shook their hand, whatever. But then as I was, and then as
6877520	6883600	you were going through it, you kind of got quiet, right? Maybe you focused a little bit too much,
6883600	6888640	which they probably do at first, on focused on the task at hand and getting the hairs done or
6888640	6893680	getting the nails done. You know, maybe in the future, maybe try asking a couple of questions
6893680	6899520	and learning about. Do you think that student's going to take that feedback a little different
6899520	6904320	than just saying, you didn't do a good job. You need to ask, talk and ask more questions.
6904960	6911360	You're probably going to take it differently, right? So just think about how you can do that.
6912480	6920160	Clear goals and expectations, try to personalize it. Again, this constructive criticism,
6920960	6928160	balance that critique and praise, okay? So even if it's something that is really, really bad,
6928800	6936480	and this is challenging sometimes, you try to find that little positive, that little praise in
6936480	6942720	there when we're giving feedback, right? Because we all know that you want that praise. You want
6942720	6949360	that pat on the back somehow. Actionable and specific steps, non-comparative opportunities
6949360	6955680	for self-assessment, continuous improvement, respectful and supportive. You know, when we
6955680	6961840	talk about like actionable and specific steps, one thing could be like the next time you do this,
6961840	6971920	try X, Y, Z, right? Here's steps that you can try to do that. And then work your way through that.
6971920	6988800	Okay. I want you to pause for a moment. Just take about, when you design,
6991680	6996240	when you design, we're going to come back to this in a second. I think I got more talking points on
6996240	7002240	my sheet here. When designing assignments, it is important to be clear what you are looking for to
7002240	7007680	aid you in providing your feedback. So think about, we just talked about rubrics, right?
7007680	7015120	And improving using rubrics, and they can help you with that feedback. If you're saying, okay,
7016160	7020960	if you have a specific, and this could work with medical lab tech too, if they're dealing with
7020960	7027200	customers, right? Did you introduce the talk, you know, welcome them by name first?
7028080	7032800	That could be on the rubric question. Did you ask them a couple of questions to try to learn about
7032800	7038080	them, right? Well, if that's specifically on the rubric, you know, you can say, no, you didn't do
7038080	7045200	this, you know, so here's, do that. And maybe give, maybe in class, you guys could brainstorm,
7045200	7050560	what are some questions you might ask clients to learn more about them,
7051600	7056480	okay? And have them come up with a list of questions, and then they could have that maybe
7056480	7064720	in their background. So as we're planning for feedback and using rubrics for that,
7066080	7074080	it's important to know, just keep that in mind. And it's when you're laying out those
7074160	7081120	assignments to make sure, sure that you're clear. I find that attaching the rubric to the assignment
7081120	7089120	using bullet points on assignments to say, this is what I'm looking for, instead of like paragraph
7089120	7095120	form tends to work very well with clear communication and provide that feedback, because
7095120	7100320	the student can kind of use it like a checklist, and they can work their way down. This is what I
7100320	7109280	need to do on this assignment. And so that can become pretty, pretty useful. I do have some
7109280	7122560	resources on Schoology for you on feedback, in the feedback section here. So there's different,
7122560	7130400	these are just different ways, articles that you can read on your own, to talk about
7131120	7140400	ways to provide feedback, and how to do it. And those are just for you to read on your own.
7140400	7150160	So what I want you to do right now is, I want you to think of some ways you want to improve
7150160	7156880	your feedback to your students. How can you improve feedback to students when you're talking
7156880	7164480	with them? I'll give you about, take about three, take just a couple minutes to think about that.
7164480	7171680	And then I want you to share with your neighbor and talk about feedback, how you can bounce ideas
7171680	7176080	off each other with sharing feedback. Those of you online, I'm going to put you into
7176480	7187920	breakout rooms again, to allow you to chat, talk about ways that you can
7189600	7194800	use feedback in the classroom in different things, and share ideas back and forth.
7194800	7200640	So I'll put you in breakout rooms again, and we'll do this for about six, seven minutes.
7296320	7300000	When you're ready, Ty, if you want to come sit over here, you could chat with
7300800	7304480	Austin and Megan about feedback. And Kylie, you can talk with
7306720	7312080	household ladies. Learn to take advantage of their services. Yeah.
7312640	7316800	I don't know if you got any big ideas. Did they have any special questions?
7316800	7317760	No, they haven't. They have.
7317760	7321520	Can I hear something that could be very good? Or what's going to work for them?
7323120	7325040	Very reasonable questions.
7325040	7325540	Yes.
7342160	7350560	If it's about the time that you get to teaching, then it would be timely for an attorney.
7350560	7353280	It would be timely for them to improve.
7356640	7360800	Especially since we all need to do a lot of other stuff, and we need to regulate
7361040	7371040	the time.
7381840	7385360	I guess that would help. But for me, one of the things,
7385360	7391120	you need to do is coordinate times and space.
7415360	7417420	you
7445360	7447420	you
7475360	7478420	you
7505360	7508420	you
7535360	7538420	you
7565360	7568420	you
7595360	7598420	you
7625360	7628420	you
7655360	7657360	you
7685360	7688420	you
7715360	7717360	you
7717360	7719360	you
7719360	7721360	you
7721360	7723360	you
7744360	7746360	you
7746360	7751600	oh my gosh ladies and gentlemen online I'm so sorry I just remembered I was muted
7751600	7756960	all right so now you can hear me all right so I'm going to repeat I hope you
7756960	7764640	enjoyed sharing with with each other about learning feedback birthday September
7764640	7768480	and talk about universal design for learning when you think about
7768480	7775120	universal design the concept really first came to mind when people think of
7775120	7783640	universal design regarding like facilities okay making sure that people
7783640	7788720	in wheelchairs can get into the building people have in wheelchair with
7788720	7795440	disabilities can get up and down stairs okay but when we it can also be applied
7795440	7803600	to learning into curriculum design into assessment and so a few years ago the
7803640	7809160	the the college really embraced and embarked on this idea of including
7809160	7815680	universal design for learning into our our teaching and learning here in campus
7815680	7822800	so we're gonna start by watching a video to learn exactly what UD universal
7822800	7826680	design at the college level means
7826680	7828720	you
7831720	7834720	learning is really
7856680	7858720	you
7875520	7879520	we can't hear your video
7886680	7898000	repeat say that we're not able to hear your video you can't hear the video okay
7898000	7902000	thank you
7917280	7923400	there's stuff is hiding behind okay
7925880	7929120	well it's shared
7931360	7940200	hey all right it's saying that the sound is shared so let's try this again
7940320	7943680	well maybe I'll just stop shared
7945240	7947860	hey
7954160	7956600	Martin
7970200	7976120	Learning is really a lifelong journey and when students come to post-secondary
7976120	7980640	they're incredibly different. They have a wide range of strengths and weaknesses and
7980640	7986600	UDL is really about how to make that learning journey tractable for as many
7986600	7988760	of those learners as possible.
7988760	7994320	I think UDL is important because of the variability that we have across learners.
7994320	7998120	We often think about individuals with disabilities as individuals at the
7998120	8004200	margins and that if we can develop or create learning environments for those
8004200	8008600	individuals at either end of the bell curve we go a long way towards addressing
8008600	8010920	the needs of everyone else in between.
8010920	8016280	We've seen an enormous growth in interest in using UDL ranging from
8016280	8020200	individual faculty members wanting to use it to whole departments to sometimes
8020200	8025280	whole institutions wanting to adopt it as an approach to really better serving
8025280	8027760	the broad range of students that are on campus.
8027800	8035080	It is not about faculty being the experts or administrators being the experts
8035080	8038080	but the ethos of we're all in this together.
8039080	8044800	In a UDL classroom I felt like I wasn't you know feeling bad because you know I
8044800	8049640	didn't participate like another student. I was more so looking at myself and
8049640	8051560	trying to be my best learner.
8051560	8055920	I think this is really made my learning deeper. It's different to me than
8055920	8059840	lecture-based courses where I sort of hear information think it's really
8059840	8063120	interesting but then end up forgetting it down the line.
8063120	8067040	UDL is really critical for helping faculty feel like they can teach all
8067040	8070640	students because it's about designing for all students from the outside.
8070640	8076720	UDL is really about bringing flexibility and options into the environment by
8076720	8082360	design so that students will have the resources that they need to make
8082360	8085360	learning tractable in post-secondary environments.
8086920	8087920	Okay.
8097920	8105920	So that gives you a little bit about universal design and on the hub there is
8105920	8113920	a whole page on the hub design focus on the universal design.
8113920	8121920	So that way you can go out there and get resources to help you incorporate
8121920	8130920	some of these activities into your teaching and learning.
8130920	8135920	A lot of it as we look right here focuses on understanding executive
8135920	8141920	function and cognitive flow in the minds of our students and that brain development.
8141920	8147920	They're all coming in at difference and can definitely handle different amounts
8147920	8152920	of executive function and just understanding how different things look.
8152920	8156920	So I encourage you to spend some time focusing on that.
8156920	8163920	And there's a lot of fancy things out there regarding universal design but you
8163920	8169920	don't have to take and do a lot. Sometimes it can just be something simple.
8169920	8174920	So, for example, one way that we've incorporated universal design in
8174920	8180920	agriculture is that every single instructor lays Schoology out the same way.
8180920	8182920	So what do I mean by that?
8182920	8187920	So I'm going to go in here to my last semester.
8187920	8189920	So I don't have the semester set up.
8192920	8196920	So I go to my Plant and Soil Science class.
8196920	8200920	Okay, we all have, when I say layout statement, we all lay the coursework
8200920	8202920	folder out the same way.
8202920	8206920	We all lay the coursework folder out by week like this.
8206920	8212920	So that way when students, because the students have all of us as instructors.
8212920	8216920	They have me, they have Ryan, they have Andrew, they have Kaylee.
8216920	8220920	So that way as they're bouncing around between instructors, they know that
8220920	8225920	they're going to find everything for that week for that instructor in that
8225920	8226920	folder.
8226920	8231920	What we were seeing before we did this is that some instructors like in
8231920	8234920	under coursework, they had like a folder for tests.
8234920	8237920	They had a folder for assignments, like in-class assignments.
8237920	8240920	They had a folder for out-of-class assignments.
8240920	8245920	And so students were just very confused because they would find it in one place
8245920	8247920	on somebody's Schoology page.
8247920	8252920	They would find it, they could find it on another instructor's Schoology page.
8252920	8258920	So we found that by incorporating a simple layout like this amongst all
8258920	8262920	instructors that it really helps with that cognitive load.
8262920	8267920	And we're not dealing with in-class certain things as they're trying to
8267920	8269920	monitor between instructors.
8269920	8275920	And in fact, when we do this, when we bring an adjunct on, right, Ty, we tell
8276920	8282920	our adjuncts, we want you to lay out your course in Schoology this way.
8282920	8288920	And it's a simple universal design factor, but it really has helped our students
8288920	8291920	comprehend, okay, that's why I put the dates there.
8291920	8296920	Hey, I missed September, I missed a class this week.
8296920	8300920	Well, they can just go in and go right to this folder with this date and see what
8300920	8301920	they, right.
8301920	8306920	I don't have to specifically as an instructor say, you know, this PowerPoint,
8306920	8309920	find this PowerPoint, find this whatever in the PowerPoint folder or this
8309920	8310920	assignment here.
8310920	8311920	It's right there.
8311920	8315920	And so that is an example of something we've done.
8315920	8325920	Believe it or not, the use of rubrics is a universal design for learning that you
8325920	8326920	can use.
8327920	8332920	And part of that is it details directions.
8332920	8333920	Okay.
8333920	8340920	The more to the students of reducing that cognitive load by having detailed
8340920	8343920	directions out there.
8343920	8350920	Some other things, a couple years ago, there's a, we partnered with a college
8351920	8357920	called Landmark College out in Vermont that specifically deals, focuses on
8357920	8363920	training people across the country on this topic of universal design.
8363920	8368920	And they are a special needs college designed for special needs students.
8368920	8374920	And they implement this universal design learn throughout their curriculum.
8374920	8379920	And a group of us from campus actually got to go to their conference during the
8379920	8384920	summer out in Vermont to really learn about universal design.
8384920	8390920	And it was really instrumental in kind of changing as the way I think about do
8390920	8392920	some things in the classroom.
8392920	8395920	How many of you have, I'm going to get the room number wrong, but that room in
8395920	8399920	200 was like the tables where you can stand where we had speed of trust.
8399920	8402920	Tables you can stand has other comfortable chairs.
8402920	8403920	Okay.
8403920	8409920	That room was a, is a universal designed room to help make students more
8409920	8410920	comfortable.
8410920	8411920	Okay.
8411920	8417920	Get in a, get in a situation, get in a, a mode sitting where you're
8417920	8418920	comfortable.
8418920	8421920	I especially like the stand up tables in that room.
8421920	8424920	Now I think we should have some of the higher stand up tables.
8424920	8428920	I don't know so much about the lazy boy type chairs, but you sat in one of
8428920	8429920	those.
8429920	8430920	You were comfy.
8430920	8431920	Megan did.
8431920	8432920	Megan did.
8432920	8438920	But, you know, I, you know, so that doing something like that is universal
8438920	8439920	design.
8439920	8442920	Fidget toys.
8442920	8443920	Okay.
8443920	8449920	I have fidget toys on my desk or on my tables in my classroom.
8449920	8450920	Okay.
8450920	8452920	I teach farm kids.
8452920	8453920	Okay.
8453920	8455920	They don't sit still.
